id;topicID;contentid;videolink;videoupload;showvideo;name;description;first;second
97024054;;703878ef;https://www.youtube.com/watch?v=KnsCwmNR5LQ;;;V.70_Song Dynasty;;;Yes
b75a0d51;;b39a0f05;https://www.youtube.com/shorts/OoR7aMqx5HU;;;V.19_Byzantine Empire;;Yes;
66e5c2d4;;b39a0f05;https://www.youtube.com/watch?v=Okph9wt8I0A;;;V.19_Byzantine Empire;;;Yes
9f9883c5;;71b32a54;https://www.youtube.com/shorts/gpRb36H3_zE;;;V.24_Carolingian Empire;;No;Yes
d261312e;;71b32a54;https://www.youtube.com/shorts/0wXyNvKc2jU;;;V.49_Carolingian Empire;;Yes;
fc27d946;;1604c4cb;https://www.youtube.com/shorts/rT8zF50i5D4;;;V.44_Ottonian dynasty;;Yes;
f9900f64;;1604c4cb;https://youtu.be/LLMkOq8EwaE;;;V.94_Ottonian dynasty;;;Yes
49d2e015;;b2294b7f;https://www.youtube.com/shorts/4HoDJn15LDY;;;V.40_Meiji Restoration;;Yes;
45a9e053;;b2294b7f;https://www.youtube.com/shorts/JIEK6MwVXEc;;;V.91_Meiji Restoration;;;Yes
4a8051f3;;03dc7c17;https://youtu.be/Qi5qpALDJXo;;;V.9_Neo-Sovietism;;Yes;
e97dfc03;;b35da4a0;https://www.youtube.com/watch?v=nA6nMs0xnIE;;;V.27_halyosy | “Fire◎Flower” (2008);;Yes;
952e3ebb;;900087ed;https://www.youtube.com/watch?v=QGJuMBdaqIw;;;V.89_Katy Perry | “Fireworks” (2010);;Yes;
f83ae932;;063c8cf9;https://youtu.be/EkttBYzD-jY;;;V.77_George Frideric Handel | Music for the Royal Fireworks (1749);;Yes;
e46687c0;;6bb11e79;https://www.youtube.com/watch?v=SWOAu_T5DuI;;;V.93_Igor Stravinsky | Feu d'artifice (1908);;Yes;
3329614f;;6bb11e79;https://www.youtube.com/watch?v=9AM31XkrGbw;;;V.33_Igor Stravinsky | Feu d'artifice (1908);;;
0718c943;;f37c940e;https://www.youtube.com/watch?v=8XZvxmkSVf8;;;V.74_Controlling vs. client state;;Yes;
68a6a01e;;62fea2ef;https://www.youtube.com/shorts/syCnd1KnMCk;;;V.56_soft vs. hard power;;No;Yes
de7b7a59;;2da2b85a;https://www.youtube.com/watch?v=dxhj4Jg3dzU;;;V.45_foreign assistance;;No;Yes
29e4b350;;ab04ed2f;https://www.youtube.com/shorts/XxmHZbiJEFI;;;V.51_Horus;;Yes;
0827a5a2;;1c939836;https://www.youtube.com/shorts/P0e8wm54RSc;;;V.24_Yudhishthira;;;Yes
fd32d984;;1c939836;https://www.youtube.com/shorts/QDBZaZKjPfI;;;V.62_Yudhishthira;;Yes;
8f5138a7;;be4633b1;https://www.youtube.com/shorts/WjodaHxWIm8;;;V.68_Georges de La Tour | Magdalen with the Smoking Flame (1640);;Yes;
e841a703;;7648c4b8;https://www.youtube.com/watch?v=Er3GKw8Z3R4;;;V.97_Jan Griffier | Great Fire of London, 1666;;Yes;
bce0b5bd;;b91df1dd;https://youtu.be/ft1MNk1Msd4;;;V.22_Oliver Knussen | Flourish with Fireworks (1988);;Yes;
1c47a043;;cc8ac80a;https://www.youtube.com/watch?v=PYq1kMKOhdI;;;V.99_Joseph Haydn | Fire Symphony (c. 1760);;Yes;
e7aa7c0c;;3606489c;https://www.youtube.com/watch?v=1reF2jn6CJs;;;V.100_Jean Sibelius | The Origin of Fire (1910);;Yes;
9c1f92aa;;51dbd756;https://www.youtube.com/watch?v=pHxstiIybz4;;;V.61_Igor Stravinsky | Suite from The Firebird (1919);;Yes;
